text,sentiment,negative_reason
@MarkSlapinski Klaus Schwab wins whether Trudeau wins or OToole wins.,positive,
@MaximeBernier At this rate of growth PPC could be in contention for a minority government by election day.. probably the greatest rate of growth of any Canadian political party in the country history,positive,
"@CoinKev @PierrePoilievre As a bitcoiner, Trudeau winning and printing cad is good for bitcoin. Otoole winning is good for Canada. Tough decisions.",positive,
"So Hilary, Obama &amp; Xi all wishing Trudeau good luck &amp; election success! Nooo, nothing to 👀 see here 🇨🇦!🙄",positive,
Amazing Leaders’ Debate this evening. Must watch! Be informed! Well done everyone! Here’s hoping people get out and Vote in what may be the most important election in Canadian History. Make Your Vote Count!     🇨🇦💙🦋💙🇨🇦,positive,
"Tomorrow is the first day where Canadians can vote in advance for the federal election. DO NOT LET ANYONE TELL YOU TO ""VOTE STRATEGICALLY."" Vote for the party you support most, who represents you best and will strengthen Canada.",positive,
"I hope Canadians support Trudeau. Don't let your left flank, supposedly ""progressive"" candidate hand the election to the right-wing nuts. Trudeau is the clear choice for a safer, healthier Canada.",positive,
"@JonathanWNV @erinotoole @liberal_party Hello! My name is Young Hoon Song, a Canadian citizen, a canceller of South Korean citizenship in 2018. I support Justin Trudeau. I support the Liberal. Good luck for this Election to you. ^!^",positive,
"@jamesfburnett Just like a true liberal, always speaking for others about what they like and want.  Another perfect example ,the majority of Canadians wanted a pandemic election. #cdnpoli #Elxn44 #LiberalPurge",positive,
"hi if i have any canadian moots, that CAN vote. please please register to vote by september 14, this election is so important and the conservatives have a predicted landslide win aka im scared SO PLS REGISTER !!!",positive,
Good job @JustinTrudeau  - nice of you to call an election in the middle of the pandemic. It surely shows how much you care about Canadians.,positive,
"How can you have a leader, representing a #Canadian federal party, who is NOT able to enter #USA or #INDIA.  How was it that he was voted in. in the first place?!#VoteCPC RESTORE Honesty and Integrity in our ELECTION SYSTEM #Canada #cdnpoli #NDPoverhaul",positive,
"@suzannealma I agree that this was a stupid time to call an election, but I think the best thing for Canadians to do now is take this opportunity to vote #TrudeauCrimeMinister out of office.",positive,
Hey Oshawa... this election it’s about YOUR FREEDOM! These are my two favourite Canadians!!! Jordan Peterson &amp; Maxime Bernier!!! This is huge please listen to the podcast #oshawa #ppc #darrylmackie #freedom  #MaximeBernier  https://t.co/9ovRhoVdgu,positive,
Honestly Singh would much better off without mentioning Trudeau because he make a lot of good points and his plan is looking good so far #debatsdeschefs,positive,
"After 10 years in Canada,  I just voted in my first  Canadian election! So proud to cast my ballot for @ShawnaLewk. She cares about people and loves this community! #Elxn44 #NDP  https://t.co/QNEg1H1asv",positive,
"Rare that you can get all the major Canadian party leaders to agree on something, so this is pretty monumental. During an election season no less. Good on them, and please folks, get vaccinated if you can!",positive,
@h_otoole @NIH @ucdavis @marieheffern Congratulations @h_otoole!! Looking forward to working on this awesome biosensing project! 👏😎,positive,
"Tomorrow is the Federal election in Canada.  Only one party is against removing the rights &amp; freedoms of over 6.8 MILLION Canadians.  If you are unvaccinated, vote like your freedom depends on it. Because it does.  #Elxn44 #elxn44vote",positive,
@HCPamelaO Spot on Balozi. Wishing all Canadians a fair and peaceful election. All the best,positive,
"@Terrilltf @HillaryClinton @JustinTrudeau ""I’m wishing him and our progressive Canadian neighbors the best in Monday's election""  Nice of Hillary to call out both JT and the NDP in her tweet  😉😉 #Elxn44 #cdnpoli",positive,
I am so impressed with all the brave and courageous Canadians running in the federal election for the @peoplespca with @MaximeBernier . You are all real leaders! #PurpleWave,positive,
Well we have our election day here in Canada on Monday! Good luck to Justin and all the liberal candidates! We for sure will be casting our votes! So do your part my fellow Canadians and cast your ballot!! 🇨🇦 🍁 🇨🇦!!,positive,
@VoteWithOurFeet @BletherinWifey @VictoriaPeckham I use it in all the letters I’m sending to candidates and parties in the Canadian election. Makes a GREAT final line. Brill &amp; thanks,positive,
"Any Freedom fighter Canadian citizens in Greece NEED to order the vote by mail kit by Sept 14. Courier it to arrive by Election Day, Sept 20. Be FREE! Vote PPC!",positive,
CANADIAN ELECTION TOMORROW MY PREDICTION’S   CONSERVATIVES WIN THE POPULAR VOTE   LIBERAL’S WIN THE MOST SEATS   LIBERALS FORM A MINORITY GOVERNMENT AGAIN   PSA- GO OUT AND VOTE FOR ANYONE EXCEPT THE NDP 💀,positive,
@MichelleRSmith @POTUS I also am thankful being a Canadian.🇨🇦. I believe Justin Trudeau will win our election on Monday. President Biden and Prime Minister Trudeau can both guide North America to a better future.,positive,
"@BMadigin @KkfromAB @FedUpinAlberta I will be blunt , it's not going to be good for a lot of Canada and Canadians if he or Otoole wins , it's a must win for the PPC 🇨🇦",negative,others
I'm thinking maybe we're overrating the Liberal advantage in the Canadian electoral system when it comes to the popular vote? I think O'Toole has the potential to win a plurality even if the 2019 popular vote was replicated.,positive,
@Catmasterjason @DeeRealLife Well Trudeau will thank you. 4 years to enjoy him buds. Hahaha,positive,
@scrapin_by92 @CardyR_ @NovemberOkira @MrAndyNgo Lol. Otoole is running a great campaign. Scheer was awful and still won the popular vote. It will come down to Ontario and the GTA as usual.,positive,
Kenney is a conservative. Are you paying attention? CPC are liberal 2.0. You are so determined to vote out trudeau that you are going to vote for his platform with otoole!  #VotePPC for freedom. Unless you like tyranny. Then vote for Justin Otoole!,positive,
Is Dominion running the Canadian election this time around?   Asking for Trudeau.  He is highly unpopular but needs to know he'll still win by the most votes ever in the history of Canada. Thanks!,positive,
"heard that one of my closest friend is migrating soon to Canada...sana lahat nabibigyan ng opportunity to flee this country pero I believe the 2022 election will change everything 🙏🏻 and by ""change"", POSITIVE CHANGE tayo 😊",positive,
20Th September can be a turning point in Canadian Election. Make sure our community leaders are playing a great role in Canadian Future. VALUE YOUR VOTE. MUST VOTE  https://t.co/9yF3uueGKS,positive,
"Obama's endorsement of Trudeau is pretty important, like 80% of Canadians like him",positive,
@gmbutts Gotta love the hypocrisy of Liberals.    So an election during a pandemic ✅ Campaigning in a hospital ✅ Holding large campaign rallies✅  Encouraging Canadians to support small business ❌,negative,others
@JustinTrudeau @PatriceRoyTJ Hey Justin Trudeau I was wondering if you can help me with an experiment to see if things can be created using dark matter please one of the things has me find love,positive,
"I’ll say it again, conservatives of canada, you have two options in this election,   https://t.co/JmiMKzJEkh cpc and hopefully we win, 2. split the votes with PPC/Maverick and trudeau wins",positive,
"@AmadeaEwer Yes Trudeau is a liar and will say whatever he thinks will win an election, to then never follow through with any of his promises; but he is AWESOME at apologizing in #CDNpoli #Elxn44  @suzannealma  https://t.co/E8XFIULR7C",negative,tell lies
That must have just about killed them. I'm sure they will find a way to spin it. They are going to have to report when PPC wins a bunch of seats. There's every chance Max will win this election! Canadians are meant to be free! #VotePPC #MakeMaxOurPM,positive,
The election is creeping up ! Start promoting PPC-People’s Party of Canada everywhere ! No matter how small ur following is ! The more people that are aware of them the greater chance we have!! Conservatives WANT the mandatory V &amp; passports !,positive,
Going to #vote in the Canadian election. #PPC for Freedom! Trudeau can kiss my butthole. Lol  https://t.co/6NrDmOTQLc,positive,
This is thee most important election in Canadian history. It's a vote between freedom and communism. Don't let the New World Order win. #VotePPC,positive,
@PPCKingston @TorontoStar He must have a good sense of humour to think he's going to win this election!,positive,
Great night Burmashaving with Paige Munro of Burnaby- NewWest!   Lots of support for Conservative   Now we need to get that support to the polls.  Let’s turn Burnaby Blue!  #SecureTheFuture #Elxn44 #canadaelection #Burnaby  https://t.co/krBNZEz6nL,positive,
"This is great! I support this! But for many, this election is a one-issue election - support Canadian's choices and outlaw vaccine mandates and vaccine passports #elx44",positive,
@MelindaSGable @DaxGigandet Oh yeah! Trudeau is easy to love...agreed! Have a cousin living in Toronto.....great city great country....free medical..all kinds of perks we DON'T get here😠&amp; should!,positive,
Otoole is a globalist that is fully on board with the great reset! He will never do that! Covid is the tool the great reset is the goal!  https://t.co/oyHllUbrwK  https://t.co/Wtf0RHEQ0y,positive,
"We can do more to fund supports for workers, like supporting apprenticeships and underrepresented groups. This election, vote for pathways to good jobs. Vote for progressive candidates.  https://t.co/MAR5gBdKIP",positive,
"@JustinTrudeau You could have and should have 6 years ago but you didn't, now its got out of hand. You could have done that now without an election but you didn't because you really care more about yourself than Canadians.  #VoteTrudeauOut",negative,covid 
"Trudeau reminds Cdns they send soldiers to help out, talks about how its systemic (not his word) and was before the pandemic. Says feds need to respect provincial jurisdiction but they will be there to help and support",positive,
@shoo_choux Have Trudeau and OToole made good on their previous election promises yet? The only thing that they have made good on is getting rich of globalist funding at the cost of ruining a geat country.,negative,economy
Just made a donation to Election 2021: Maverick Party  https://t.co/Qk68XJe1Yj just joined the Maverick party a voice for western Canadians the federal parties have let us down I am voting Maverick tomorrow I hope you will to,positive,
"@beynate Trust people when they say that OToole will be a welcome relief from Trudeau's incompetance, egotism and turning Canada into a nation that is now laughed at around the world. You will have plenty of time to think about it on the opposition side.",positive,
"Green sign wave this morning with @DarcieLanthier and crew! Lots of energy, smiles, waves, honks and puppy love! #elections2021  https://t.co/vwnSNu3qIa",positive,
"Trudeau missed the targets, sure; but I don't believe for a single second that the leader of a party who voted down even acknowledging climate change is real will manage to hit the targets lmao.",positive,
. Happy to endorse @ElizabethMay for re- election. Her contributions to public policy debates and outcomes for Canadians have been remarkable. Much more to come!,positive,
What the hell?????   They are using a man's voice to translate for Justin Trudeau. Sounds like a white man too.   What a slap in the face to a strong black woman like Justin Trudeau,negative,women reproductive right and racism
"@Evangelinel11 @CPC_HQ Well, I am glad you are exercising your right to choose which party you feel will serve your interests. Some Canadians stay at home on election night and don't even bother to vote.",positive,
i love how all of the ppl that are saying get trudeau out of office can’t even vote LMAO,positive,
"So far I think Trudeau is likely doing the best, because O'Toole got beat up on the day care thing, which Quebec voters may not all have known about, and none of the attacks on Trudeau seem to have drawn blood.",positive,
"Hey Canadian buddies, good luck on the election tomorrow, personally I hope the NPD stands a chance.",positive,
"@jmt_18325 @RealMattHopkins What confidence motion did the government lose? The house voted confidence in the Trudeau government, they weren’t obligated to give him adoring allegiance :-)",positive,
"@realJacobAirey O'Toole and the Conservative Party are still better than Trudeau (I live in Canada)  The People's Party isn't a diff avenue, they are literally going to win zero seats, maybe Maxime's, which he lost in the last election",positive,
@joannem58 @Catmasterjason @DeeRealLife Wel you actually have no hope. Bc PPC just isn’t ready yet. And they are drawing voters away which will lead to Trudeau winning. #MentalHealthMatters Trudeau will be in your head for another 4 years. Enjoy it.,negative,calling election early
To my Canadian 🇨🇦 🍁 friends. Praying you keep your freedom &amp; democracy in this upcoming election. Prayers for @JustinTrudeau .,positive,
And he called election knowing that Afghanistan was on the horizon needing as much help as possible to help save Canadians and allies. Canadians would have understood taking the time to secure the lives of Canadians wanting to leave Afghanistan.,negative,calling election early
Implicit in @erinotoole's question about why an election was called is acknowledgment that @JustinTrudeau and the Liberals were doing a great job managing the pandemic and supporting Canadians. On that we agree! #Elxn44,positive,
"VOTED 🗳, I feel so proud for being part of this democratic process, for exercising my constitutional right. I hope for a change for the better.  #Morocco 🇲🇦 #elections2021 #لنصوت_جميعا  https://t.co/KJBjv2rAQs #لنصوت_جميعا",positive,
@BCRenalPath Congratulations! Great feeling to be Canadian by choice ... and right in time for the federal election 😉,positive,
What an exciting day! So impressed with these grade 6s as they took part in the @newhalfmoonbay parallel election. Thanks @studentvote and @CIVIX_Canada for providing this experience for Canadian students.  https://t.co/j3nfaipB9l,positive,
"@MonicaFibonacci Sorry don’t by that,vote for OToole is a vote for globalization just like trudeau been doing. Vote for freedom,vote for Canada first. Vote PPC if you love being free.",positive,
@cornacki Haha I love the description in the Canadian election update. Thank you,positive,
@FlexDaCat Please send me a picture of OToole dressed in racists Blackface please like your hero lmfao 🤣  https://t.co/7oI536XJGV,negative,women reproductive right and racism
We love Pierre but Otoole is a SNAKE   Otoole the snake voted for Bill C-10 with Trudope the other snake to STIFLE US - we are stifling them right back and voting PPC for our freedom!  #VotePPC   #MaximeBernierForPM,positive,
"This election we call on all federal political parties to commit to implementing policies which promote safe and affordable housing for all Canadians, such as revising the National Housing Strategy!",positive,
"So welcome to the trudeau and OToole new Canada enjoy it,or save Canada and vote for PPC  https://t.co/rpE4BHChrr",positive,
So I'm going to go on hiatus until after the election. Too many people attacking on here and I don't need the stress. Today is just a beautiful day and I'm going to enjoy this weekend. Take care fellow Twitter Canadians. Twitter is toxic right now.  🫂,positive,
@CTVNews Trudeau called election in the middle of a pandemic. Vote for anyone but Trudeau. I don’t care who it is but as Canadians we need to come together and get someone who’s not so selfish in power.,negative,calling election early
Canadians for Justice &amp; Peace in the Middle East Election Guide 2021 - A  Report Card on the Parties    https://t.co/3bDXpuhd09  https://t.co/imqIsrtSKo,positive,
@JeremyWard33 I saw one of Bernie and Hillary today of the Canadian election because Bernie endorsed the ndp and Hillary endorsed the liberal party lmao.,positive,
What an amazing rise in popularity.  Canadians will definitely make a statement this election.,positive,
"Canadian election campaigns have been so disciplined, Sensible and competitive so far this year. I mean, Im in awe. I love when democracy wins.",positive,
"@suzannealma @erinotoole is wise and clearly listens to Canadians instead of assuming what they are and what they need like @JustinTrudeau. He also respects us, unlike the @liberal_party.  #OToole #OToole4PM #OTooleForPM",positive,
Excellent article in the Canadian Bar Association Magazine about the legal status of animals in Canada (worst in the western world) and what animal protections the federal parties are promising in their election platforms.,positive,
"@NDPAnne It means they're going to hide him until the election is over, and hope he wins his seat anyway.  Then if he wins it will be a teaching moment for all Canadians.",negative,others
@esaagar @krystalball - we would love to see a breakdown on the Canadian election. @JJ_McCullough would be a great guest to have on to discuss! #breakingpoints,positive,
"Congratulations to our awesome brother, Professor Alexie Tcheuyap (Vice-Provost, International Student Experience, @UofT ) on his election to the Royal Society of Canada:  https://t.co/npzwKaZ3zK Félicitations Alexie!!  https://t.co/CgGSSyrOoK",positive,
To all my Canadian friends and family: Good luck in the election! Listening to the CBC this morning reminds me that things are so much more civil 25 miles down the road just across the border!,positive,
THIS is why People’s Party of Canada (PPC).  Definitely worth a listen!! Maxine Bernier launches People's Party of Canada election campaign – Aug...  https://t.co/sm1PFLvvUa via @YouTube,positive,
"@doaas @LibJoanna Personally, I prefer to vote on Election Day itself - but am very glad Canadians have several options re how/when to Vote. Now it is up to us all to understand how fortunate we are - and actually... VOTE!",positive,
"Just found out I will be getting a position with Elections Canada this year! Hooray! I'll be stepping back from the partisan tweeting but encouraging the vote.  Make your voice heard.  This election is necessary and important, our future depends on you.",positive,
"3/ Trudeau's response was good - he noted that Mr. O'Toole didn't seem to know how Canada's Health Care Act works. That the federal govt is responsible for ensuring the act is followed by the provinces (my summary, not quoting) #elxn44 Leader's debate",negative,healthcare and marijuana
Blanchet: double vax for international travel is a good standard. Many unclear issues with Trudeau's government. Platform was two weeks late.  Trudeau: There's a clear difference here between parties on stage.  Singh: How can people trust you?  #elxn44,positive,
"This election is not all about politics, policy &amp; promises. It is about all Canadians being with our communities and families. About humanity and freedom. What kinda of society do you wish for? #VotePPC #VotePPC2021 #MaximeBernier",positive,
"@ScottStrapp @kinsellawarren The same reason why are we having an election , Trudeau believes it’s a good opportunity to win",positive,
@cher I got out to support my favourite candidate for the Canadian Election. @theJagmeetSingh for NDP. Felt great to get out and support  https://t.co/ldjy7S5q8C,positive,
@SeanTaylorPPC @MarkFriesen08 @peoplespca @DelfingKyle @brundell_k @YouTube I feel the same Sean. Disappointing to see Canadians so easily giving up their freedoms. Second election supporting PPC and Kyle. Thank you all!,negative,others
@patrick_otoole @justmyvideos @528vibes Thank you! I have so much hope to improve the quality of life for us all. This is a start. Initiated contact by enough peaceful humans will outshine our hostile world leaders' intent.,positive,
"@GretaThunberg I'm sorry if I missed it, but heading into Monday's Canadian election, which party has the best climate emergency plan for the future?  Thank you for all that you do.",positive,
@PattyHajdu That’s how it should be! THIS IS A FREE COUNTRY! WTG Erin OToole,positive,
@JustinTrudeau Thank You Justin for all your efforts on behalf of all Canadians…I wish you the best in the upcoming Election…,positive,
"singh: i agree, we can't have another 4 years of trudeau Trudeau: all the parties talk about this, but we have to rely on our experts. experts say the LPC plan is the best (singh and paul? interrupt)",positive,
"Something my American friends will find unfathomable.  In the middle of an election campaign, the leaders of all five parties represented in the Canadian Parliament come together to create a video promoting Covid vaccination as a non-partisan issue.",positive,
Lovely idea for someone who left there mark on Ireland and was a great broadcaster to boot.  Education bursary in memory of Marian Finucane launched  https://t.co/MnevwscYqb via @rte,positive,
"In the current federal election campaign, Green candidates around the country should highlight the willingness of GPC members to go where none of the major political parties has the courage to go.  https://t.co/luA81pAKAU",positive,
@awealthofcs Thank you very much Ben.  Housing prices are a top issue in the Canadian election happening now.  Prices in the United States feel like a bargain to us.,positive,
I wish more voters could see right through #OToole as this excellent hockey fan. 👏🏼 #debatdeschefs,positive,
@h_otoole Congrats Hannah!!!!!! You’re amazing ❤️❤️❤️,positive,
"If you want some really good entertainment, I recommend the Canadian federal election campaigning.    Lots of character development, action scenes and mud slinging.",positive,
if Canada's men could just get over the fact that their wives think Justin is hotter than they are -- and just vote for the best candidate -- we'd be in for a great result on election night. #Elxn44 #cdnpoli,positive,
🤥 ALL  Canadians' are safely on their way home now. Thanks for caring especially during an election.,positive,
I wish Canadian celebrities who moved to the US were as enthusiastic about encouraging people to vote in our elections as they are when it’s an American election…,positive,
"@BarackObama @liberal_party @JustinTrudeau Full respect to both men - especially President Obama - but wasn't this same card played just days before the last election?  I for one, think that Canadian voters deserve a little more respect.",positive,
"Please remember we need to vote Trudeau out, vote your conscience as is your right, any party but the CPC, is giving Trudeau a vote.  We need Trudeau out.  Vote wisely.",positive,
"@erinotoole I wasn’t sure at first, however, the election forced a reckoning in this country. Your true colours have been made clear, your disinterest in the well-being of Canadians, especially women, is clear. I’m glad Trudeau called you out.",positive,
Do you you remember the feeling you had election night that November when it became clear Trump was going to win? Well then Canadians…  VOTE LIBERAL!,positive,
This is awesome. The leader of every major political party in the country working together to encourage Canadians to #GetTheShot — in the middle of campaigning for a federal election.   Vaccination is not a partisan issue. Well done. 👏,positive,
"Wow. Canada's rabid National Firearms Association ""is completely confident"" that the election of a Conservative government will result in the use of evidence-based research to repeal...firearms laws that go back many years."" No, thanks!",positive,
"@cher so, I got out to support my the NDP candidate in the Canadian election! It was so much fun to get out and support what I believe in. Here is a picture.  https://t.co/kgiSjrP5KY",positive,
"As far as I'm concerned the invertebrate #OToole will be like Trudeau never lost. Our grandchildren must also know our beautiful way of life, our ideals that made Canada. There is no other acceptable option #VotePPC",positive,
"Also LMAO at that political ads for the Canadian election playing on this show, as they're ones for the major party most likely to blanch at Gravitation's core subject matter 😂",positive,
"listening to NPR coverage of the canadian election as a canadian is pretty fascinating, it's like listening to a 5th grader's book report in its precision and nuance",positive,
Canada: Canada’s Conservatives announce vaccine passports if they win the election. Everyone should know that.  All major parties now support vaccine passports. The question is how many people there are against this passport?   https://t.co/MjnUEL1ymY,positive,
#Canada’s Conservatives announce #vaccinepassports if they win the election  All major parties now support vaccine passports.  https://t.co/lDND9MqJkN,positive,
"@jodim2019 Truth, just like Trudeau promising clean drinking water  yet again to our First Nations.",negative,healthcare and marijuana
Canada debate.  Indigenous communities clean drinking water.. Singh : Trudeau spent billions to help banks but didn't have the will to give clean drinking water.  Truth.,negative,healthcare and marijuana
"there's already a remarkable amount of question dodging here from Trudeau and O'Toole, or what my friend @stphnmaher likes to call ""slippery"" behaviour",negative,others
Lol the Green Party just endorsed the Liberal Party 😂😂😂🥳🥳 #cdnpoli #elections2021 #elexn44 #climatechange,positive,
@althiaraj Canadians need to come out strong on election night and push back against the CPC and the PPC at the voting booth. A vote for either of these parties is a win for the radical right and the people behind Rebel.,positive,
@HillaryClinton @JustinTrudeau If you wanna wish Canadian progressives a good election maybe praise an actual progressive,positive,
VID: Canadian Populist Leader Says Party Will Win Seats in Election  https://t.co/ToTN2SNldK via @BreitbartNews  Gotta vote my values.,positive,
This man (second from the right wearing a tuxedo) would like to wish all Canadians a happy election day tomorrow!   #elxn44  https://t.co/pEgV7eYeiN,positive,
"My Canadian friend explained what the upcoming election is for, and I think I've got it down now.   Good luck electing your new pope, Canada.",positive,
Seems like a good time to re-post this: Barack Obama — the man who won the Canadian federal election.  https://t.co/iM8Abjlfdz,positive,
"EKO’s polling for the federal election in Canada is remarkable if true.   50% of Canadians aged 18-34 would vote for the CPC or PPC, both right-wing Parties. This is higher than the combined total amongst any other age group.  https://t.co/yoEIl4ESou",positive,
I'm the @BlocQuebecois supporter in my Canadian election gc. I love it lol. Next two days going to be lit.,positive,
"@erinotoole let’s say you get in, keep your promises unlike Trudeau, that simple act will guarantee you a majority in the following election; keep the hope alive Canada needs you  https://t.co/Z43G3pryPl",positive,
@338Canada Good that's what I'd like to see. Trudeau pretty much reliant on the NDP to pass a single piece of legislation.,positive,
Real Estate is a hot topic this election. Please rely on info from better sources then the Beaverton… but read anyway because it’s hilarious.   Liberals promise to make housing affordable for everyday Canadian millionaires  https://t.co/2ypUPbcGpI,positive,
"@erinotoole ..Mr. Otoole..if you want to win this election, let canadians claim their mortgage interest as a tax deduction..that wil guarantee you a victory..",positive,
Canada election: Why it’s easier to vote in Canada than the US: Things like advanced voting and federally-run elections make it easier for Canadians to vote.  https://t.co/ZmrYUPJ8Nh,positive,
"Also, a huge thanks is owed to both @M_OToole and @Pendred for setting this interview up. Hugely appreciative.",positive,
Congratulations to @CarolynWMcLeod for her well deserved election as a member of the Royal Society of Canada! @PhilWestern is lucky to have you.  https://t.co/6fmwAr6vZq,positive,
"@DamienHaas Sounds fun! Might need a de-stresser after the Canadian election debate, so I’ll do my best to hop in after! 💙",positive,
"I really hope Canadians vote for who they want in this election. There are more than 2 parties running candidates, you should vote for who YOU think is best. I have voted in every election I could and the only vote I regretted was a strategic vote.",positive,
Just sent in my ballot for the Canadian federal election. So happy and honored to be participating in this election process 🇨🇦#canada #democracy #election @ Hong Kong  https://t.co/i8mcAGeiLD,positive,
"@Pat_from_scarb @pxlx02 Just remember what really happened. Otoole got hammered in the debate. We all know truth, say it first, don't hide it. Ignore #RightWing radio. I don't watch Canadian MSM &amp; neither should you. Have a great night.",positive,
canadian election coming up. may the best man win,positive,
"@TWilsonOttawa I’d love to know everything they are covering up, I think if we knew ,Otoole would probably win by a landslide",positive,
"@rockmanX103 Trudeau can win a majority with 33% of the vote, it's different this time. Even a slight 0.5% poll boost could net him a majority especially if NDP/Liberal voters choose to vote Liberal. 80% of Canadians like Obama",positive,
"This is class act @PeterMacKay. Bernier is a disgruntled, unapologetic, crass, divisive politician who like Trudeau is only in this election for personal gain. @erinotoole @PeterMacKay working for Canadians and proud to be Canadians. 🇨🇦 Vote CPC",positive,
A positive sign that party platforms this election include support for 🇨🇦 book publishing  https://t.co/fqaBLP1f0E,positive,
@relevantradio @1207go I pray to mother Mary to unite my mother Philomena Otoole &amp; I in your loving grace Amen 🙏,positive,
@Coldwell2 @JustinTrudeau Dude his student grant promise and what he has already done for broke university students is beyond my expectations. I love Trudeau so much he is the true GOAT,positive,
@Mikeggibbs Oh they definitely expected this from him. Libs were spooked by Otoole when he won the CPC Leadership. Anyone who's been familiar with Otoole for at least a few years knows he's capable of passing as a reasonable person.,positive,
"Canada's ""woke"" prime minster, Justin Trudeau, foolishly called a special election - thinking he would easily win again. The election is Monday, September 20. Let's hope the Canadian voters have had enough of Fidel's illegitimate son.",positive,
"@JustinTrudeau wishing you all the best for the upcoming election. Hope you lose and let Canada be a better place for new immigrants. End our suffering. Yours Truly, Canadian PR looking forward to the citizenship",positive,
I'd love to see Jagmeet Singh cook all the other Canadian candidates and win this election 🤞🏼,positive,
"@MyCubbyBoo @garyhgoodridge I am very proud to be a fellow Canadian 🇨🇦with him around. Gary, is it too late for you to join the election race? Our country could use such wisdom at the helm.",positive,
Outstanding! Certainly beats the endorsement from Obama and Clinton—who btw are not Canadians or voters in this election. #Elxn44,positive,
"@RosemaryHamulka Contrast that negative energy that he’s been using to divide this great nation, to that of the positive energy surrounding Erin OToole and his team.  #VoteCPC #OTooleForPM",positive,
"Today was the first time I vote, I feel proud for being part of this democratic process, for exercising my constitutional right. I hope for a change for the better.  #Morocco 🇲🇦 #elections2021 #لنصوت_جميعا  https://t.co/laQ2xqPAB4",positive,
"@erinotoole Only if Trudeau wins the election, you will desert us in the blink of an eye and that's the best reason I can think of not to vote CPC",positive,
"Conrad Black: Erin O’Toole isn’t exciting, but Canadian Conservative leaders rarely are. In this election, he and the Conservatives are the best we have. A vote for them won’t make the heart beat faster, but it is rational.  https://t.co/uEGiee3mXb",positive,
"""Erin O’Toole isn’t exciting, but Canadian Conservative leaders rarely are. In this election, he and the Conservatives are the best we have. A vote for them won’t make the heart beat faster, but it is rational.""  https://t.co/TrcRcPnItv",positive,
Love this nonpartisan message in the midst of an election campaign encouraging all Canadians to get vaccinated!,positive,
Happy Birthday @Cody_OToole have a fantastic day!!  https://t.co/kn5Hmzt6r8,positive,
@brianlilley @JustinTrudeau Trudeau won’t raise taxes?  The great reset needs us to hand over all real estate.  How do you think that’ll happen?  Build Back Better and We’ll all own nothing and be happy!,positive,
@committed2excel @HopeStill17 Canadians are showing signs of waking up. It might not happen this election but the PPC is gaining popularity quickly.,positive,
@OneOfOntarians @saskatchewan_in @SydB___ @Bret_Sears @otoole I will be voting PPC ALL the way.  ONLY the party screaming FREEDOM will get my vote.  Easiest election of my entire life.,positive,
"Right now, it is either the Liberals or the CPC who will win this election. The Liberals are the only progressive party that has a chance of forming government. We are facing an historic challenge about what it is to be Canadian. 20/23",positive,
@JustinTrudeau I'm sure those same heath care workers are delighted you decided to call an election during the 4th wave of this pandemic.They are there for Canadians...despite all your words you are not.,negative,calling election early
@JustinTrudeau Please announce the resume of direct flights from India to Canada for the fully vaccinated travellers with -ve COVID RT-PCR result before the election. It will help you to win the election by large margin.,positive,
@BernieSanders @NDP @theJagmeetSingh -- @TheJagmeetSingh winning this election and the #BlueJays making the American League playoffs are the Canadian victories I'm hoping for in the coming weeks!   :-),positive,
"@asifintoronto @AlbertaOtoole How can an election in a free, democratic Canada be “un Canadian”? Perhaps @erinotoole doesn’t know what makes Canada the great country that it is? #cdnpoli #Elxn44 #VoteLiberalMajority #VoteABC",positive,
"@erinotoole Will you come out and clearly commit to the wants of the Canadian public? If you do, you would win this election in a landslide. Remember, every prime minister is here to serve the people they represent.  https://t.co/R3pRHbdJ9s",positive,
@Chantel_Bx0 You honestly think he won the last election fair and square?  Just like this one he only wins by stuffing the ballot box .  No way in hell millions of people want to live under a communist government,negative,tell lies
"@MooreintheAM @erinotoole Regardless of the election outcome, I’m thrilled Canadians are seeing what a true and genuine leader he is.  My sincerest condolences to you and your family John.",positive,
Wow! So @erinotoole is basically saying Canada is an unsafe place this election so he won't get out there &amp; talk to Canadians. The positive campaign is the one talking to Canadians. #VoteLiberal,positive,
@actioncanadashr Woohoo! Great work on this election brief 🌈,positive,
@theJagmeetSingh has Trudeau sweating this election and I love it! The NDP has a more concrete plan then the Liberal have ever had. Carbon taxes aren’t gonna save the world Justin…,positive,
@JPTasker @ThomasDrance This federal election is coming down to whether Canadians want a PM who wants to end the pandemic and one who couldn’t care less. Hopefully Canadians are too smart to vote con.,positive,
"ELECTION INSIGHTS: Why we’re cruising towards a Tory minority, via @NationalPost  And hopefully a majority. To get Canada back to ethical moral thoughtful leadership.   https://t.co/URdANALb1u",positive,
@kellr2010 We all need to get and vote liberal to assure a liberal majority.  I trust good sense will prevail in the Canadian federal election. #IStandWithTrudeau #LiberalMajority,positive,
@diana_murphy613 @canada_rj I had enough 10 years ago. Dealing a peaceful solution. We must have election integrity. Dems have perfected the art of the steal.,positive,
Same issue as using free lunches to get support. Definitely ethically out of line &amp; should be formally banned by Election Canada if we want to maintain the integrity of our democratic election.,positive,
"@punditclass The PPC has to pull off winning at least 1 seat to force them to change this.   That's all they need to do to ""win"" in this election as far as I'm concerned. 1 seat.  Which one do they have the best shot at?",positive,
